"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"MI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.373","","01/01/2013","12/31/2013"
"MN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.572","","01/01/2013","12/31/2013"
"MO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.178","","01/01/2013","12/31/2013"
"MP","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.254","","01/01/2013","12/31/2013"
"MT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.372","","01/01/2013","12/31/2013"
"NC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.290","","01/01/2013","12/31/2013"
"ND","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.028","","01/01/2013","12/31/2013"
"NE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.661","","01/01/2013","12/31/2013"
"NH","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.273","","01/01/2013","12/31/2013"
"NJ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.202","","01/01/2013","12/31/2013"
"NM","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.099","","01/01/2013","12/31/2013"
"NV","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.352","","01/01/2013","12/31/2013"
"NY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.404","","01/01/2013","12/31/2013"
"OH","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.069","","01/01/2013","12/31/2013"
"OK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.930","","01/01/2013","12/31/2013"
"OR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.391","","01/01/2013","12/31/2013"
"PA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.248","","01/01/2013","12/31/2013"
"PR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.006","","01/01/2013","12/31/2013"
"RI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.722","","01/01/2013","12/31/2013"
"SC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.773","","01/01/2013","12/31/2013"
"SD","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.307","","01/01/2013","12/31/2013"
"TN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.481","","01/01/2013","12/31/2013"
"TX","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.134","","01/01/2013","12/31/2013"
"UT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.965","","01/01/2013","12/31/2013"
"VA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.283","","01/01/2013","12/31/2013"
"VI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","4.143","","01/01/2013","12/31/2013"
"VT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.250","","01/01/2013","12/31/2013"
"WA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.289","","01/01/2013","12/31/2013"
"WI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.244","","01/01/2013","12/31/2013"
"WV","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.751","","01/01/2013","12/31/2013"
"WY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.065","","01/01/2013","12/31/2013"
"AK","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.620","","01/01/2013","12/31/2013"
"AL","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.950","","01/01/2013","12/31/2013"
"AR","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.957","","01/01/2013","12/31/2013"
"AS","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.087","","01/01/2013","12/31/2013"
"CA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.123","","01/01/2013","12/31/2013"
"CO","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.744","","01/01/2013","12/31/2013"
"CT","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.506","","01/01/2013","12/31/2013"
"DC","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.079","","01/01/2013","12/31/2013"
"DE","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.169","","01/01/2013","12/31/2013"
"FL","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.908","","01/01/2013","12/31/2013"
"GA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.299","","01/01/2013","12/31/2013"
"GU","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","-","","01/01/2013","12/31/2013"
"HI","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.445","","01/01/2013","12/31/2013"
"IA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.836","","01/01/2013","12/31/2013"
"ID","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.887","","01/01/2013","12/31/2013"
"IL","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.055","","01/01/2013","12/31/2013"
"IN","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.307","","01/01/2013","12/31/2013"
"KS","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.001","","01/01/2013","12/31/2013"
"KY","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.175","","01/01/2013","12/31/2013"
"LA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.856","","01/01/2013","12/31/2013"
"MA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.667","","01/01/2013","12/31/2013"
"MD","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.539","","01/01/2013","12/31/2013"
"ME","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.582","","01/01/2013","12/31/2013"
"MI","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.220","","01/01/2013","12/31/2013"
"MN","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.261","","01/01/2013","12/31/2013"
"MO","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.995","","01/01/2013","12/31/2013"
"MP","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.989","","01/01/2013","12/31/2013"
"MT","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.669","","01/01/2013","12/31/2013"
"NC","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.126","","01/01/2013","12/31/2013"
"ND","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.548","","01/01/2013","12/31/2013"
"NE","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.150","","01/01/2013","12/31/2013"
"NH","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.742","","01/01/2013","12/31/2013"
"NJ","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.035","","01/01/2013","12/31/2013"
"NM","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.719","","01/01/2013","12/31/2013"
"NV","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.065","","01/01/2013","12/31/2013"
"NY","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.285","","01/01/2013","12/31/2013"
"OH","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.946","","01/01/2013","12/31/2013"
"OK","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.720","","01/01/2013","12/31/2013"
"OR","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.055","","01/01/2013","12/31/2013"
"PA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.124","","01/01/2013","12/31/2013"
"PR","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.678","","01/01/2013","12/31/2013"
"RI","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.136","","01/01/2013","12/31/2013"
"SC","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.503","","01/01/2013","12/31/2013"
"SD","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.652","","01/01/2013","12/31/2013"
"TN","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.302","","01/01/2013","12/31/2013"
"TX","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.034","","01/01/2013","12/31/2013"
"UT","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.501","","01/01/2013","12/31/2013"
"VA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.088","","01/01/2013","12/31/2013"
"VI","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.253","","01/01/2013","12/31/2013"
"VT","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.540","","01/01/2013","12/31/2013"
"WA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.039","","01/01/2013","12/31/2013"
"WI","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.999","","01/01/2013","12/31/2013"
"WV","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.536","","01/01/2013","12/31/2013"
"WY","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.140","","01/01/2013","12/31/2013"
"AK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.875","","01/01/2013","12/31/2013"
"AL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.488","","01/01/2013","12/31/2013"
"AR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.791","","01/01/2013","12/31/2013"
"AS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.177","","01/01/2013","12/31/2013"
"CA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.894","","01/01/2013","12/31/2013"
"CO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.767","","01/01/2013","12/31/2013"
"CT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.242","","01/01/2013","12/31/2013"
"DC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.796","","01/01/2013","12/31/2013"
"DE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.746","","01/01/2013","12/31/2013"
"FL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.803","","01/01/2013","12/31/2013"
"GA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.859","","01/01/2013","12/31/2013"
"GU","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"HI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.214","","01/01/2013","12/31/2013"
"IA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.197","","01/01/2013","12/31/2013"
"ID","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.085","","01/01/2013","12/31/2013"
"IL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.854","","01/01/2013","12/31/2013"
"IN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.115","","01/01/2013","12/31/2013"
"KS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.354","","01/01/2013","12/31/2013"
"KY","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.823","","01/01/2013","12/31/2013"
"LA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.009","","01/01/2013","12/31/2013"
"MA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.235","","01/01/2013","12/31/2013"
"MD","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.012","","01/01/2013","12/31/2013"
"ME","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.245","","01/01/2013","12/31/2013"
"MI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.005","","01/01/2013","12/31/2013"
"MN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.280","","01/01/2013","12/31/2013"
"MO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.688","","01/01/2013","12/31/2013"
"MP","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.749","","01/01/2013","12/31/2013"
"MT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.868","","01/01/2013","12/31/2013"
"NC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.923","","01/01/2013","12/31/2013"
"ND","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.065","","01/01/2013","12/31/2013"
"NE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.327","","01/01/2013","12/31/2013"
"NH","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.954","","01/01/2013","12/31/2013"
"NJ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.859","","01/01/2013","12/31/2013"
"NM","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.768","","01/01/2013","12/31/2013"
"NV","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.061","","01/01/2013","12/31/2013"
"NY","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.250","","01/01/2013","12/31/2013"
"OH","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.927","","01/01/2013","12/31/2013"
"OK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.085","","01/01/2013","12/31/2013"
"OR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.759","","01/01/2013","12/31/2013"
"PA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.917","","01/01/2013","12/31/2013"
"PR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"RI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.274","","01/01/2013","12/31/2013"
"SC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.977","","01/01/2013","12/31/2013"
"SD","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.000","","01/01/2013","12/31/2013"
"TN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.941","","01/01/2013","12/31/2013"
"TX","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.790","","01/01/2013","12/31/2013"
"UT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.442","","01/01/2013","12/31/2013"
"VA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.981","","01/01/2013","12/31/2013"
"VI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"VT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","2.055","","01/01/2013","12/31/2013"
"WA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.999","","01/01/2013","12/31/2013"
"WI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.937","","01/01/2013","12/31/2013"
"WV","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.912","","01/01/2013","12/31/2013"
"WY","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.529","","01/01/2013","12/31/2013"
"AK","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.372","","01/01/2013","12/31/2013"
"AL","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.596","","01/01/2013","12/31/2013"
"AR","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.988","","01/01/2013","12/31/2013"
"AS","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.338","","01/01/2013","12/31/2013"
"CA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.960","","01/01/2013","12/31/2013"
"CO","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.925","","01/01/2013","12/31/2013"
"CT","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.464","","01/01/2013","12/31/2013"
"DC","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.166","","01/01/2013","12/31/2013"
"DE","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.071","","01/01/2013","12/31/2013"
"FL","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.874","","01/01/2013","12/31/2013"
"GA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.970","","01/01/2013","12/31/2013"
"GU","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"HI","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.670","","01/01/2013","12/31/2013"
"IA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.443","","01/01/2013","12/31/2013"
"ID","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.469","","01/01/2013","12/31/2013"
"IL","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.953","","01/01/2013","12/31/2013"
"IN","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.265","","01/01/2013","12/31/2013"
"KS","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.620","","01/01/2013","12/31/2013"
"KY","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.968","","01/01/2013","12/31/2013"
"LA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.183","","01/01/2013","12/31/2013"
"MA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.394","","01/01/2013","12/31/2013"
"MD","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.313","","01/01/2013","12/31/2013"
"ME","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.632","","01/01/2013","12/31/2013"
"MI","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.118","","01/01/2013","12/31/2013"
"MN","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.472","","01/01/2013","12/31/2013"
"MO","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.800","","01/01/2013","12/31/2013"
"MP","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.943","","01/01/2013","12/31/2013"
"MT","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.282","","01/01/2013","12/31/2013"
"NC","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.038","","01/01/2013","12/31/2013"
"ND","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.561","","01/01/2013","12/31/2013"
"NE","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.659","","01/01/2013","12/31/2013"
"NH","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.296","","01/01/2013","12/31/2013"
"NJ","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.980","","01/01/2013","12/31/2013"
"NM","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.083","","01/01/2013","12/31/2013"
"NV","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.337","","01/01/2013","12/31/2013"
"NY","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.349","","01/01/2013","12/31/2013"
"OH","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.019","","01/01/2013","12/31/2013"
"OK","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.280","","01/01/2013","12/31/2013"
"OR","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.925","","01/01/2013","12/31/2013"
"PA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.004","","01/01/2013","12/31/2013"
"PR","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"RI","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.731","","01/01/2013","12/31/2013"
"SC","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.151","","01/01/2013","12/31/2013"
"SD","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.418","","01/01/2013","12/31/2013"
"TN","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.072","","01/01/2013","12/31/2013"
"TX","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.861","","01/01/2013","12/31/2013"
"UT","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.762","","01/01/2013","12/31/2013"
"VA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.118","","01/01/2013","12/31/2013"
"VI","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"VT","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","2.968","","01/01/2013","12/31/2013"
"WA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.162","","01/01/2013","12/31/2013"
"WI","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.086","","01/01/2013","12/31/2013"
"WV","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.159","","01/01/2013","12/31/2013"
"WY","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.172","","01/01/2013","12/31/2013"
"AK","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.527","","01/01/2013","12/31/2013"
"AL","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.396","","01/01/2013","12/31/2013"
"AR","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.626","","01/01/2013","12/31/2013"
"AS","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.030","","01/01/2013","12/31/2013"
"CA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.831","","01/01/2013","12/31/2013"
"CO","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.629","","01/01/2013","12/31/2013"
"CT","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.047","","01/01/2013","12/31/2013"
"DC","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.522","","01/01/2013","12/31/2013"
"DE","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.502","","01/01/2013","12/31/2013"
"FL","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.737","","01/01/2013","12/31/2013"
"GA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.759","","01/01/2013","12/31/2013"
"GU","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"HI","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.859","","01/01/2013","12/31/2013"
"IA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.984","","01/01/2013","12/31/2013"
"ID","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.783","","01/01/2013","12/31/2013"
"IL","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.762","","01/01/2013","12/31/2013"
"IN","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.980","","01/01/2013","12/31/2013"
"KS","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.122","","01/01/2013","12/31/2013"
"KY","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.694","","01/01/2013","12/31/2013"
"LA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.856","","01/01/2013","12/31/2013"
"MA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.089","","01/01/2013","12/31/2013"
"MD","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.766","","01/01/2013","12/31/2013"
"ME","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.931","","01/01/2013","12/31/2013"
"MI","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.900","","01/01/2013","12/31/2013"
"MN","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.107","","01/01/2013","12/31/2013"
"MO","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.589","","01/01/2013","12/31/2013"
"MP","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.586","","01/01/2013","12/31/2013"
"MT","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.564","","01/01/2013","12/31/2013"
"NC","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.818","","01/01/2013","12/31/2013"
"ND","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.698","","01/01/2013","12/31/2013"
"NE","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.048","","01/01/2013","12/31/2013"
"NH","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.685","","01/01/2013","12/31/2013"
"NJ","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.751","","01/01/2013","12/31/2013"
"NM","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.528","","01/01/2013","12/31/2013"
"NV","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.831","","01/01/2013","12/31/2013"
"NY","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.157","","01/01/2013","12/31/2013"
"OH","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.841","","01/01/2013","12/31/2013"
"OK","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.912","","01/01/2013","12/31/2013"
"OR","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.616","","01/01/2013","12/31/2013"
"PA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.836","","01/01/2013","12/31/2013"
"PR","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
