Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"670008","HOUSTON PHYSICIANS' HOSPITAL","333 N TEXAS AVENUE","Webster","TX","77598","HARRIS","1.05298","0 out of 10","0 out of 9","0 out of 10"
"360010","UNION HOSPITAL","659 BOULEVARD","Dover","OH","44622","TUSCARAWAS","0.98759","0 out of 10","2 out of 9","2 out of 10"
"150154","INDIANA HEART HOSPITAL THE","8075 N SHADELAND AVE","Indianapolis","IN","46250","MARION","0.98458","1 out of 10","0 out of 9","1 out of 10"
"060044","COLORADO PLAINS MEDICAL CENTER","1000 LINCOLN ST","Fort Morgan","CO","80701","MORGAN","0.95081","2 out of 10","3 out of 9","3 out of 10"
"100087","SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL","Sarasota","FL","34239","SARASOTA","1.05513","0 out of 10","1 out of 9","1 out of 10"
"100071","BAYFRONT HEALTH BROOKSVILLE","17240 CORTEZ BLVD","Brooksville","FL","34601","HERNANDO","1.02701","0 out of 10","1 out of 9","1 out of 10"
"340131","CAROLINA EAST MEDICAL CENTER","2000 NEUSE BLVD","New Bern","NC","28560","CRAVEN","0.90289","5 out of 10","1 out of 9","5 out of 10"
"450809","NORTH AUSTIN MEDICAL CENTER","12221 MOPAC EXPRESSWAY NORTH","Austin","TX","78758","TRAVIS","1.06443","0 out of 10","0 out of 9","0 out of 10"
"460041","DAVIS HOSPITAL AND MEDICAL CENTER","1600 WEST ANTELOPE DRIVE","Layton","UT","84041","DAVIS","1.07144","0 out of 10","0 out of 9","0 out of 10"
"330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","Poughkeepsie","NY","12601","DUTCHESS","1.00544","0 out of 10","0 out of 9","0 out of 10"
"050204","PALMDALE REGIONAL MEDICAL CENTER","38600 MEDICAL CENTER DRIVE","Palmdale","CA","93552","LOS ANGELES","0.95985","2 out of 10","1 out of 9","2 out of 10"
"520021","UNITED HOSPITAL SYSTEM","6308 EIGHTH AVE","Kenosha","WI","53143","KENOSHA","0.99811","0 out of 10","0 out of 9","0 out of 10"
"390045","WILLIAMSPORT REGIONAL MEDICAL CENTER","700 HIGH STREET","Williamsport","PA","17701","LYCOMING","0.98640","0 out of 10","0 out of 9","0 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.89933","5 out of 10","0 out of 9","5 out of 10"
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","Bethlehem","PA","18015","NORTHAMPTON","1.00077","0 out of 10","0 out of 9","0 out of 10"
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","Paragould","AR","72451","GREENE","0.98392","1 out of 10","2 out of 9","2 out of 10"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","Conway","AR","72034-6297","FAULKNER","1.01815","0 out of 10","0 out of 9","0 out of 10"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","Mesa","AZ","85206","MARICOPA","0.99473","0 out of 10","0 out of 9","0 out of 10"
"250025","GILMORE MEMORIAL REGIONAL MEDICAL CENTER","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","1.00477","0 out of 10","0 out of 9","0 out of 10"
"390052","PENN HIGHLANDS CLEARFIELD","809 TURNPIKE AVE","Clearfield","PA","16830","CLEARFIELD","1.07154","0 out of 10","0 out of 9","0 out of 10"
"230075","BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","Battle Creek","MI","49016","CALHOUN","0.99261","0 out of 10","0 out of 9","0 out of 10"
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","901 WEST BEN WHITE BLVD","Austin","TX","78704","TRAVIS","1.03981","0 out of 10","0 out of 9","0 out of 10"
"150097","MAJOR HOSPITAL","150 W WASHINGTON ST","Shelbyville","IN","46176","SHELBY","1.03680","0 out of 10","0 out of 9","0 out of 10"
"510002","GREENBRIER VALLEY MEDICAL CENTER","202 MAPLEWOOD AVENUE  PO BOX 497","Ronceverte","WV","24970","GREENBRIER","0.89855","5 out of 10","4 out of 9","5 out of 10"
"390226","PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS","800 SPRUCE STREET","Philadelphia","PA","19107","PHILADELPHIA","1.02114","0 out of 10","0 out of 9","0 out of 10"
"490113","SENTARA NORTHERN VIRGINIA MEDICAL CENTER","2300 OPITZ BOULEVARD","Woodbridge","VA","22191","PRINCE WILLIAM","1.00121","0 out of 10","1 out of 9","1 out of 10"
"390258","ST MARY MEDICAL CENTER","LANGHORNE-NEWTOWN RD","Langhorne","PA","19047","BUCKS","1.03773","0 out of 10","0 out of 9","0 out of 10"
"050261","SIERRA VIEW DISTRICT HOSPITAL","465 W PUTNAM AVE","Porterville","CA","93257","TULARE","0.90134","5 out of 10","3 out of 9","5 out of 10"
"450222","CONROE REGIONAL MEDICAL CENTER","504 MEDICAL CENTER BLVD","Conroe","TX","77304","MONTGOMERY","1.07043","0 out of 10","0 out of 9","0 out of 10"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","Long Branch","NJ","07740","MONMOUTH","1.12669","0 out of 10","0 out of 9","0 out of 10"
"100319","FLORIDA HOSPITAL WESLEY CHAPEL","2600 BRUCE B DOWNS BLVD","Wesley Chapel","FL","33544","PASCO","1.00631","0 out of 10","Not Available","0 out of 10"
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","Indianola","MS","38751","SUNFLOWER","1.07351","0 out of 10","0 out of 9","0 out of 10"
"380082","PROVIDENCE MILWAUKIE HOSPITAL","10150 SE 32ND AVENUE","Milwaukie","OR","97222","CLACKAMAS","0.89911","5 out of 10","0 out of 9","5 out of 10"
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","Richmond Heights","MO","63117-1811","ST. LOUIS","0.97419","1 out of 10","0 out of 9","1 out of 10"
"150072","MEMORIAL HOSPITAL","1101 MICHIGAN AVE","Logansport","IN","46947","CASS","1.04444","0 out of 10","2 out of 9","2 out of 10"
"160057","GREAT RIVER MEDICAL CENTER","1221 SOUTH GEAR AVENUE","West Burlington","IA","52655","DES MOINES","0.89843","5 out of 10","0 out of 9","5 out of 10"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","Harrison","AR","72601","BOONE","0.87434","7 out of 10","5 out of 9","7 out of 10"
"190297","DOCTORS HOSPITAL AT DEER CREEK LLC","815 SOUTH 10TH STREET","Leesville","LA","71446","VERNON","1.14275","0 out of 10","0 out of 9","0 out of 10"
"190308","ST BERNARD PARISH HOSPITAL","8000 WEST JUDGE PEREZ DRIVE","Chalmette","LA","70043","ST. BERNARD","0.89019","6 out of 10","Not Available","6 out of 10"
"100067","ST ANTHONYS HOSPITAL","1200 SEVENTH AVE N","Saint Petersburg","FL","33705","PINELLAS","1.07250","0 out of 10","0 out of 9","0 out of 10"
"330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","Warwick","NY","10990","ORANGE","0.99184","0 out of 10","0 out of 9","0 out of 10"
"360085","OHIO STATE UNIVERSITY HOSPITALS","410 WEST 10TH AVENUE","Columbus","OH","43218","FRANKLIN","0.99699","0 out of 10","0 out of 9","0 out of 10"
"420049","CONWAY MEDICAL CENTER","300 SINGLETON RIDGE ROAD","Conway","SC","29526","HORRY","0.94137","3 out of 10","3 out of 9","3 out of 10"
"490143","RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG","1500 COMMONWEALTH AVENUE","Williamsburg","VA","23185","JAMES CITY CO.","0.95113","2 out of 10","Not Available","2 out of 10"
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","3501 KNICKERBOCKER ROAD","San Angelo","TX","76904","TOM GREEN","1.02280","0 out of 10","1 out of 9","1 out of 10"
"260015","TWIN RIVERS REGIONAL MEDICAL CENTER","1301 FIRST ST","Kennett","MO","63857-2525","DUNKLIN","0.97653","1 out of 10","0 out of 9","1 out of 10"
"230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","Ann Arbor","MI","48109","WASHTENAW","0.98776","0 out of 10","0 out of 9","0 out of 10"
"330246","ST CHARLES HOSPITAL","200 BELLE TERRE ROAD","Port Jefferson","NY","11777","SUFFOLK","1.02309","0 out of 10","0 out of 9","0 out of 10"
"450154","VAL VERDE REGIONAL MEDICAL CENTER","801 BEDELL AVE","Del Rio","TX","78840","VAL VERDE","0.86198","8 out of 10","0 out of 9","8 out of 10"
"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","Winfield","IL","60190","DU PAGE","1.02996","0 out of 10","0 out of 9","0 out of 10"
"050348","UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH","Orange","CA","92868","ORANGE","0.98319","1 out of 10","2 out of 9","2 out of 10"
"360155","SOUTHWEST GENERAL HEALTH CENTER","18697 BAGLEY ROAD","Middleburg Heights","OH","44130","CUYAHOGA","1.03273","0 out of 10","0 out of 9","0 out of 10"
"360116","SOUTHWEST REGIONAL MEDICAL CENTER","425 HOME STREET","Georgetown","OH","45121","BROWN","1.01982","0 out of 10","0 out of 9","0 out of 10"
"230165","ST JOHN HOSPITAL AND MEDICAL CENTER","22101 MOROSS RD","Detroit","MI","48236","WAYNE","1.00507","0 out of 10","0 out of 9","0 out of 10"
"180010","SAINT JOSEPH HOSPITAL","ONE SAINT JOSEPH DRIVE","Lexington","KY","40504","FAYETTE","0.99240","0 out of 10","0 out of 9","0 out of 10"
"390063","UPMC HAMOT","201 STATE STREET","Erie","PA","16550","ERIE","1.04079","0 out of 10","1 out of 9","1 out of 10"
"440017","WELLMONT HOLSTON VALLEY MEDICAL CENTER","130 WEST RAVINE ROAD","Kingsport","TN","37660","SULLIVAN","1.05613","0 out of 10","0 out of 9","0 out of 10"
"050773","SAN LEANDRO HOSPITAL","13855 E 14TH STREET","San Leandro","CA","94578","ALAMEDA","0.94779","3 out of 10","Not Available","3 out of 10"
"370049","STILLWATER MEDICAL CENTER","1323 WEST 6TH STREET","Stillwater","OK","74076","PAYNE","1.01283","0 out of 10","0 out of 9","0 out of 10"
"230180","MIDMICHIGAN MEDICAL CENTER-CLARE","703 N MCEWAN ST","Clare","MI","48617","CLARE","0.84036","9 out of 10","8 out of 9","9 out of 10"
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","Springfield","IL","62769","SANGAMON","0.96301","2 out of 10","0 out of 9","2 out of 10"
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","Evergreen Park","IL","60805","COOK","1.03051","0 out of 10","0 out of 9","0 out of 10"
"520103","COMMUNITY MEMORIAL HOSPITAL","W180 N8085 TOWN HALL RD","Menomonee Falls","WI","53051","WAUKESHA","1.00960","0 out of 10","0 out of 9","0 out of 10"
"110194","DONALSONVILLE HOSPITAL INC","102 HOSPITAL CIR","Donalsonville","GA","39845","SEMINOLE","0.76539","10 out of 10","9 out of 9","10 out of 10"
"200034","ST MARYS REGIONAL MEDICAL CENTER","CAMPUS AVENUE - PO BOX 291","Lewiston","ME","04240","ANDROSCOGGIN","0.96728","2 out of 10","0 out of 9","2 out of 10"
"390062","NASON HOSPITAL","105 NASON DRIVE","Roaring Spring","PA","16673","BLAIR","1.00288","0 out of 10","2 out of 9","2 out of 10"
"420043","NOVANT HEALTH GAFFNEY MEDICAL CENTER","1530 N LIMESTONE ST","Gaffney","SC","29340","CHEROKEE","0.90202","5 out of 10","2 out of 9","5 out of 10"
"050058","GLENDALE MEM HOSPITAL & HLTH CENTER","1420 S CENTRAL AVE","Glendale","CA","91204","LOS ANGELES","1.04345","0 out of 10","0 out of 9","0 out of 10"
"500044","DEACONESS HOSPITAL","W 800 FIFTH AVENUE","Spokane","WA","99210","SPOKANE","0.98065","1 out of 10","1 out of 9","1 out of 10"
"440006","TRISTAR SKYLINE MEDICAL CENTER","3441 DICKERSON PIKE","Nashville","TN","37207","DAVIDSON","1.04812","0 out of 10","0 out of 9","0 out of 10"
"390194","GNADEN HUETTEN MEMORIAL HOSPITAL","211 NORTH 12TH STREET","Lehighton","PA","18235","CARBON","1.09536","0 out of 10","0 out of 9","0 out of 10"
"060116","EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC","200 EXEMPLA CIRCLE","Lafayette","CO","80026","BOULDER","0.95796","2 out of 10","1 out of 9","2 out of 10"
"340166","CAROLINAS MED CTR-UNIVERSITY","8800 NORTH TYRON STREET","Charlotte","NC","28256","MECKLENBURG","1.01649","0 out of 10","0 out of 9","0 out of 10"
"110121","GRADY GENERAL HOSPITAL","1155 5TH STREET, SE","Cairo","GA","39828","GRADY","0.84176","9 out of 10","8 out of 9","9 out of 10"
"190099","AVOYELLES HOSPITAL","4231 HIGHWAY 1192","Marksville","LA","71351","AVOYELLES","1.13252","0 out of 10","0 out of 9","0 out of 10"
"140176","CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","3701 DOTY ROAD","Woodstock","IL","60098","MCHENRY","1.02635","0 out of 10","0 out of 9","0 out of 10"
"170013","HAYS MEDICAL CENTER","2220 CANTERBURY DRIVE","Hays","KS","67601","ELLIS","1.00988","0 out of 10","1 out of 9","1 out of 10"
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","Reno","NV","89502","WASHOE","0.99102","0 out of 10","1 out of 9","1 out of 10"
"450379","DALLAS MEDICAL CENTER","7 MEDICAL PARKWAY","Dallas","TX","75234","DALLAS","1.18570","0 out of 10","1 out of 9","1 out of 10"
"450668","SIERRA MEDICAL CENTER","1625 MEDICAL CENTER DR","El Paso","TX","79902","EL PASO","1.03902","0 out of 10","0 out of 9","0 out of 10"
"370228","BAILEY MEDICAL CENTER, L L C","10502 NORTH 110TH EAST AVENUE","Owasso","OK","74055","TULSA","0.88851","6 out of 10","0 out of 9","6 out of 10"
"390006","GEISINGER MEDICAL CENTER","100 NORTH ACADEMY AVENUE","Danville","PA","17822","MONTOUR","1.03417","0 out of 10","0 out of 9","0 out of 10"
"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","Little Rock","AR","72211","PULASKI","0.91079","5 out of 10","1 out of 9","5 out of 10"
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","Brandon","FL","33511","HILLSBOROUGH","1.01643","0 out of 10","0 out of 9","0 out of 10"
"050076","KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","2425 GEARY BLVD","San Francisco","CA","94115","SAN FRANCISCO","0.73163","10 out of 10","0 out of 9","10 out of 10"
"180132","LAKE CUMBERLAND REGIONAL HOSPITAL","305 LANGDON STREET","Somerset","KY","42503","PULASKI","1.00165","0 out of 10","0 out of 9","0 out of 10"
"100275","WELLINGTON REGIONAL MEDICAL CENTER","10101 FOREST HILL BLVD","Wellington","FL","33414","PALM BEACH","1.11013","0 out of 10","0 out of 9","0 out of 10"
"150024","ESKENAZI HEALTH","720 ESKENAZI AVENUE","Indianapolis","IN","46202","MARION","0.95381","2 out of 10","0 out of 9","2 out of 10"
"450144","PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","720 HOSPITAL DRIVE","Andrews","TX","79714","ANDREWS","0.87821","7 out of 10","0 out of 9","7 out of 10"
"360012","MOUNT CARMEL ST ANN'S","500 SOUTH CLEVELAND AVENUE","Westerville","OH","43081","FRANKLIN","1.01964","0 out of 10","0 out of 9","0 out of 10"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","Phoenix","AZ","850202871","MARICOPA","0.98749","0 out of 10","0 out of 9","0 out of 10"
"450659","PARK PLAZA HOSPITAL","1313 HERMANN DR","Houston","TX","77004","HARRIS","1.12033","0 out of 10","0 out of 9","0 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.99589","0 out of 10","0 out of 9","0 out of 10"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","Phoenix","AZ","85031","MARICOPA","1.00465","0 out of 10","0 out of 9","0 out of 10"
"490043","INOVA LOUDOUN HOSPITAL","44045 RIVERSIDE PARKWAY","Leesburg","VA","20176","LOUDOUN","1.01694","0 out of 10","1 out of 9","1 out of 10"
"450162","GRACE MEDICAL CENTER","2412 50TH ST","Lubbock","TX","79412","LUBBOCK","0.99552","0 out of 10","0 out of 9","0 out of 10"
"440144","HARTON REGIONAL MEDICAL CENTER","1801 N JACKSON ST BOX 460","Tullahoma","TN","37388","COFFEE","1.04281","0 out of 10","0 out of 9","0 out of 10"
"390263","LEHIGH VALLEY HOSPITAL - MUHLENBERG","2545 SCHOENERSVILLE ROAD","Bethlehem","PA","18017","LEHIGH","1.00669","0 out of 10","0 out of 9","0 out of 10"
"450565","PALO PINTO GENERAL HOSPITAL","400 SOUTHWEST 25 AVE","Mineral Wells","TX","76067","PALO PINTO","1.11203","0 out of 10","0 out of 9","0 out of 10"
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP","2905 WEST WARNER ROAD","Chandler","AZ","85225","MARICOPA","1.04263","0 out of 10","0 out of 9","0 out of 10"
"450087","NORTH HILLS HOSPITAL","4401 BOOTH CALLOWAY ROAD","North Richland Hills","TX","76180","TARRANT","1.06285","0 out of 10","0 out of 9","0 out of 10"
"050017","MERCY GENERAL HOSPITAL","4001 J ST","Sacramento","CA","95819","SACRAMENTO","0.93520","3 out of 10","0 out of 9","3 out of 10"
"190009","HUEY P LONG MEDICAL CENTER","352 HOSPITAL BLVD","Pineville","LA","71360","RAPIDES","0.91330","5 out of 10","0 out of 9","5 out of 10"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","Scottsdale","AZ","85260","MARICOPA","1.04337","0 out of 10","0 out of 9","0 out of 10"
"450280","BAYLOR MEDICAL CENTER AT GARLAND","2300 MARIE CURIE DRIVE","Garland","TX","75042","DALLAS","1.06404","0 out of 10","0 out of 9","0 out of 10"
"450518","THE MEDICAL CENTER OF SOUTHEAST TEXAS","2555 JIMMY JOHNSON BLVD","Port Arthur","TX","77640","JEFFERSON","1.13474","0 out of 10","0 out of 9","0 out of 10"
"450690","UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","11937 US HIGHWAY 271","Tyler","TX","75708","SMITH","0.94101","3 out of 10","4 out of 9","4 out of 10"
"330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","Buffalo","NY","14210","ERIE","0.94434","3 out of 10","1 out of 9","3 out of 10"
"220001","HEALTHALLIANCE HOSPITALS, INC","60 HOSPITAL ROAD","Leominster","MA","01453","WORCESTER","1.04446","0 out of 10","0 out of 9","0 out of 10"
"050624","HENRY MAYO NEWHALL  HOSPITAL","23845  MCBEAN PKWY","Valencia","CA","91355","LOS ANGELES","1.00009","0 out of 10","0 out of 9","0 out of 10"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","Gilbert","AZ","85296","MARICOPA","0.97340","1 out of 10","1 out of 9","1 out of 10"
"050746","WESTERN MEDICAL CENTER SANTA ANA","1001 NORTH TUSTIN AVENUE","Santa Ana","CA","92705","ORANGE","1.04440","0 out of 10","0 out of 9","0 out of 10"
"410012","MIRIAM HOSPITAL","164 SUMMIT AVENUE","Providence","RI","02906","PROVIDENCE","1.02511","0 out of 10","0 out of 9","0 out of 10"
"510029","THOMAS MEMORIAL HOSPITAL","4605 MACCORKLE AVE SW","South Charleston","WV","25309","KANAWHA","0.95491","2 out of 10","2 out of 9","2 out of 10"
"370215","OKLAHOMA HEART HOSPITAL","4050 WEST MEMORIAL ROAD","Oklahoma City","OK","73120","OKLAHOMA","0.93460","3 out of 10","0 out of 9","3 out of 10"
"390043","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","32-36 CENTRAL AVENUE","Wellsboro","PA","16901","TIOGA","1.00962","0 out of 10","0 out of 9","0 out of 10"
"520049","BELLIN MEMORIAL HOSPITAL","744 S WEBSTER AVE","Green Bay","WI","54305","BROWN","0.96595","2 out of 10","0 out of 9","2 out of 10"
"490060","CLINCH VALLEY MEDICAL CENTER","2949 WEST FRONT STREET","Richlands","VA","24641","TAZEWELL","0.86738","7 out of 10","6 out of 9","7 out of 10"
"500002","PROVIDENCE ST MARY MEDICAL CENTER","401 W POPLAR ST","Walla Walla","WA","99362","WALLA WALLA","0.92012","4 out of 10","0 out of 9","4 out of 10"
"330235","AUBURN COMMUNITY HOSPITAL","17 LANSING STREET","Auburn","NY","13021","CAYUGA","0.88753","6 out of 10","1 out of 9","6 out of 10"
"330239","WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","Jamestown","NY","14701","CHAUTAUQUA","0.94290","3 out of 10","1 out of 9","3 out of 10"
"330241","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","750 EAST ADAMS STREET","Syracuse","NY","13210","ONONDAGA","0.98340","1 out of 10","0 out of 9","1 out of 10"
"050441","STANFORD HOSPITAL","300 PASTEUR DRIVE","Stanford","CA","94305","SANTA CLARA","0.97589","1 out of 10","0 out of 9","1 out of 10"
"050159","VENTURA COUNTY MEDICAL CENTER","3291 LOMA VISTA RD","Ventura","CA","93003","VENTURA","0.95567","2 out of 10","0 out of 9","2 out of 10"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.98315","1 out of 10","1 out of 9","1 out of 10"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","Elkin","NC","28621","SURRY","0.92438","4 out of 10","2 out of 9","4 out of 10"
"370212","OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP","330 SOUTHWEST 80TH STREET","Oklahoma City","OK","73139","CLEVELAND","0.96612","2 out of 10","2 out of 9","2 out of 10"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","Elizabeth","NJ","07207","UNION","1.16206","0 out of 10","0 out of 9","0 out of 10"
"390199","PUNXSUTAWNEY AREA HOSPITAL","81 HILLCREST DRIVE","Punxsutawney","PA","15767","JEFFERSON","0.99607","0 out of 10","0 out of 9","0 out of 10"
"180102","LOURDES HOSPITAL","1530 LONE OAK ROAD","Paducah","KY","42003","MCCRACKEN","0.95659","2 out of 10","1 out of 9","2 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.94732","3 out of 10","2 out of 9","3 out of 10"
"230053","HENRY FORD HOSPITAL","2799 W GRAND BLVD","Detroit","MI","48202","WAYNE","0.99103","0 out of 10","0 out of 9","0 out of 10"
"330395","ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE","327 BEACH 19TH STREET","Far Rockaway","NY","11691","QUEENS","0.99371","0 out of 10","0 out of 9","0 out of 10"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","Palmer","AK","99645","MATANUSKA-SUSITNA","0.79461","10 out of 10","0 out of 9","10 out of 10"
"320009","LOVELACE MEDICAL CENTER","601 DR MARTIN LUTHER KING JR AVE NE","Albuquerque","NM","87102","BERNALILLO","0.98462","1 out of 10","1 out of 9","1 out of 10"
"260102","TRUMAN MEDICAL CENTER LAKEWOOD","7900 LEE'S SUMMIT RD","Kansas City","MO","64139","JACKSON","0.76496","10 out of 10","9 out of 9","10 out of 10"
"190274","OCHSNER MEDICAL CENTER-KENNER LLC","180 WEST ESPLANADE AVENUE","Kenner","LA","70065","JEFFERSON","1.00001","0 out of 10","0 out of 9","0 out of 10"
"180056","METHODIST HOSPITAL","1305 N ELM ST","Henderson","KY","42420","HENDERSON","1.04000","0 out of 10","0 out of 9","0 out of 10"
"110177","DOCTORS HOSPITAL","3651 WHEELER ROAD","Augusta","GA","30909","RICHMOND","1.00374","0 out of 10","0 out of 9","0 out of 10"
"180087","TAYLOR REGIONAL HOSPITAL","1700 OLD LEBANON ROAD","Campbellsville","KY","42718","TAYLOR","1.02858","0 out of 10","0 out of 9","0 out of 10"
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","Exeter","NH","03833","ROCKINGHAM","0.99333","0 out of 10","1 out of 9","1 out of 10"
"140032","ST ANTHONYS MEMORIAL HOSPITAL","503 N MAPLE STREET","Effingham","IL","62401","EFFINGHAM","0.88238","6 out of 10","4 out of 9","6 out of 10"
"110029","NORTHEAST GEORGIA MEDICAL CENTER, INC","743 SPRING STREET","Gainesville","GA","30501","HALL","0.90978","5 out of 10","0 out of 9","5 out of 10"
"430008","BROOKINGS HOSPITAL","300 22ND AVE","Brookings","SD","570062496","BROOKINGS","0.84612","8 out of 10","0 out of 9","8 out of 10"
"030120","GILBERT HOSPITAL","5656 SOUTH POWER ROAD","Gilbert","AZ","85295","MARICOPA","0.79966","10 out of 10","9 out of 9","10 out of 10"
"450855","HARLINGEN MEDICAL CENTER","5501 SOUTH EXPRESSWAY 77","Harlingen","TX","78550","CAMERON","1.20828","0 out of 10","0 out of 9","0 out of 10"
"230117","BORGESS MEDICAL CENTER","1521 GULL ROAD","Kalamazoo","MI","49048","KALAMAZOO","0.94992","2 out of 10","0 out of 9","2 out of 10"
"190002","LAFAYETTE GENERAL MEDICAL CENTER","1214 COOLIDGE AVENUE","Lafayette","LA","70503","LAFAYETTE","1.01298","0 out of 10","0 out of 9","0 out of 10"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","2735 SILVER CREEK ROAD","Bullhead City","AZ","86442","MOHAVE","0.93202","4 out of 10","0 out of 9","4 out of 10"
"490019","CULPEPER REGIONAL HOSPITAL","501 SUNSET LANE","Culpeper","VA","22701","CULPEPER","0.96878","1 out of 10","0 out of 9","1 out of 10"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","St. Joseph","MI","49085","BERRIEN","0.95130","2 out of 10","0 out of 9","2 out of 10"
"050425","KAISER FOUNDATION HOSPITAL - SACRAMENTO","2025 MORSE AVENUE","Sacramento","CA","95825","SACRAMENTO","0.79737","10 out of 10","9 out of 9","10 out of 10"
"050737","GARFIELD MEDICAL CENTER","525 N GARFIELD AVE","Monterey Park","CA","91754","LOS ANGELES","1.13820","0 out of 10","0 out of 9","0 out of 10"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","Grosse Pointe","MI","48230","WAYNE","0.98426","1 out of 10","0 out of 9","1 out of 10"
"190036","OCHSNER MEDICAL CENTER","1516 JEFFERSON HWY","New Orleans","LA","70121","JEFFERSON","0.95997","2 out of 10","0 out of 9","2 out of 10"
"170006","VIA CHRISTI HOSPITAL PITTSBURG INC","1 MT CARMEL WAY","Pittsburg","KS","66762","CRAWFORD","0.94669","3 out of 10","0 out of 9","3 out of 10"
"260024","TEXAS COUNTY MEMORIAL HOSPITAL","1333 SAM HOUSTON BOULEVARD","Houston","MO","65483-2046","TEXAS","0.82861","9 out of 10","9 out of 9","9 out of 10"
"510007","ST MARY'S MEDICAL CENTER","2900 1ST AVENUE","Huntington","WV","25701","CABELL","0.97306","1 out of 10","1 out of 9","1 out of 10"
"350011","SANFORD MEDICAL CENTER FARGO","801 BROADWAY NORTH","Fargo","ND","58122","CASS","1.00359","0 out of 10","0 out of 9","0 out of 10"
"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 N DALE MABRY HWY","Tampa","FL","33614","HILLSBOROUGH","1.08751","0 out of 10","0 out of 9","0 out of 10"
