"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"MD","Cardiac defibrillator implant w/o cardiac cath w MCC","89","","10/01/2013","09/30/2014"
"ME","Cardiac defibrillator implant w/o cardiac cath w MCC","15","","10/01/2013","09/30/2014"
"MI","Cardiac defibrillator implant w/o cardiac cath w MCC","219","","10/01/2013","09/30/2014"
"MN","Cardiac defibrillator implant w/o cardiac cath w MCC","57","","10/01/2013","09/30/2014"
"MO","Cardiac defibrillator implant w/o cardiac cath w MCC","119","","10/01/2013","09/30/2014"
"MS","Cardiac defibrillator implant w/o cardiac cath w MCC","73","","10/01/2013","09/30/2014"
"MT","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2013","09/30/2014"
"NC","Cardiac defibrillator implant w/o cardiac cath w MCC","144","","10/01/2013","09/30/2014"
"ND","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2013","09/30/2014"
"NE","Cardiac defibrillator implant w/o cardiac cath w MCC","29","","10/01/2013","09/30/2014"
"NH","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2013","09/30/2014"
"NJ","Cardiac defibrillator implant w/o cardiac cath w MCC","213","","10/01/2013","09/30/2014"
"NM","Cardiac defibrillator implant w/o cardiac cath w MCC","15","","10/01/2013","09/30/2014"
"NV","Cardiac defibrillator implant w/o cardiac cath w MCC","31","","10/01/2013","09/30/2014"
"NY","Cardiac defibrillator implant w/o cardiac cath w MCC","294","","10/01/2013","09/30/2014"
"OH","Cardiac defibrillator implant w/o cardiac cath w MCC","210","","10/01/2013","09/30/2014"
"OK","Cardiac defibrillator implant w/o cardiac cath w MCC","60","","10/01/2013","09/30/2014"
"OR","Cardiac defibrillator implant w/o cardiac cath w MCC","29","","10/01/2013","09/30/2014"
"PA","Cardiac defibrillator implant w/o cardiac cath w MCC","286","","10/01/2013","09/30/2014"
"PR","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2013","09/30/2014"
"RI","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2013","09/30/2014"
"SC","Cardiac defibrillator implant w/o cardiac cath w MCC","89","","10/01/2013","09/30/2014"
"SD","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2013","09/30/2014"
"TN","Cardiac defibrillator implant w/o cardiac cath w MCC","159","","10/01/2013","09/30/2014"
"TX","Cardiac defibrillator implant w/o cardiac cath w MCC","401","","10/01/2013","09/30/2014"
"UT","Cardiac defibrillator implant w/o cardiac cath w MCC","16","","10/01/2013","09/30/2014"
"VA","Cardiac defibrillator implant w/o cardiac cath w MCC","160","","10/01/2013","09/30/2014"
"VT","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"WA","Cardiac defibrillator implant w/o cardiac cath w MCC","74","","10/01/2013","09/30/2014"
"WI","Cardiac defibrillator implant w/o cardiac cath w MCC","71","","10/01/2013","09/30/2014"
"WV","Cardiac defibrillator implant w/o cardiac cath w MCC","39","","10/01/2013","09/30/2014"
"WY","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","58","","10/01/2013","09/30/2014"
"AR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61","","10/01/2013","09/30/2014"
"AZ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","55","","10/01/2013","09/30/2014"
"CA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","174","","10/01/2013","09/30/2014"
"CO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","26","","10/01/2013","09/30/2014"
"CT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","27","","10/01/2013","09/30/2014"
"DC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14","","10/01/2013","09/30/2014"
"DE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14","","10/01/2013","09/30/2014"
"FL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","273","","10/01/2013","09/30/2014"
"GA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","72","","10/01/2013","09/30/2014"
"HI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"IA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16","","10/01/2013","09/30/2014"
"ID","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"IL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","143","","10/01/2013","09/30/2014"
"IN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","78","","10/01/2013","09/30/2014"
"KS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","49","","10/01/2013","09/30/2014"
"KY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","54","","10/01/2013","09/30/2014"
"LA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","41","","10/01/2013","09/30/2014"
"MA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","70","","10/01/2013","09/30/2014"
"MD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","48","","10/01/2013","09/30/2014"
"ME","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","17","","10/01/2013","09/30/2014"
"MI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","94","","10/01/2013","09/30/2014"
"MN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","45","","10/01/2013","09/30/2014"
"MO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","67","","10/01/2013","09/30/2014"
"MS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","44","","10/01/2013","09/30/2014"
"MT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","93","","10/01/2013","09/30/2014"
"ND","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","13","","10/01/2013","09/30/2014"
"NE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32","","10/01/2013","09/30/2014"
"NH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","13","","10/01/2013","09/30/2014"
"NJ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","107","","10/01/2013","09/30/2014"
"NM","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","12","","10/01/2013","09/30/2014"
"NY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","262","","10/01/2013","09/30/2014"
"OH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","132","","10/01/2013","09/30/2014"
"OK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32","","10/01/2013","09/30/2014"
"OR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","26","","10/01/2013","09/30/2014"
"PA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","138","","10/01/2013","09/30/2014"
"PR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"RI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"SC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61","","10/01/2013","09/30/2014"
"SD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16","","10/01/2013","09/30/2014"
"TN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","72","","10/01/2013","09/30/2014"
"TX","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","177","","10/01/2013","09/30/2014"
"UT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","15","","10/01/2013","09/30/2014"
"VA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","75","","10/01/2013","09/30/2014"
"VT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"WA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","36","","10/01/2013","09/30/2014"
"WI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","71","","10/01/2013","09/30/2014"
"WV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16","","10/01/2013","09/30/2014"
"WY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","48","","10/01/2013","09/30/2014"
"AR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","16","","10/01/2013","09/30/2014"
"AZ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","52","","10/01/2013","09/30/2014"
"CA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","158","","10/01/2013","09/30/2014"
"CO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29","","10/01/2013","09/30/2014"
"CT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","24","","10/01/2013","09/30/2014"
"DC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"DE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"FL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","167","","10/01/2013","09/30/2014"
"GA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","50","","10/01/2013","09/30/2014"
"HI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","13","","10/01/2013","09/30/2014"
"IA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","22","","10/01/2013","09/30/2014"
"ID","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"IL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","114","","10/01/2013","09/30/2014"
"IN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","70","","10/01/2013","09/30/2014"
"KS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29","","10/01/2013","09/30/2014"
"KY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","42","","10/01/2013","09/30/2014"
"LA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29","","10/01/2013","09/30/2014"
"MA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","64","","10/01/2013","09/30/2014"
"MD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","15","","10/01/2013","09/30/2014"
"ME","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","14","","10/01/2013","09/30/2014"
"MI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","93","","10/01/2013","09/30/2014"
"MN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","51","","10/01/2013","09/30/2014"
"MO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","69","","10/01/2013","09/30/2014"
"MS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","21","","10/01/2013","09/30/2014"
"MT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","92","","10/01/2013","09/30/2014"
"ND","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","13","","10/01/2013","09/30/2014"
"NH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NJ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","85","","10/01/2013","09/30/2014"
"NM","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"NV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","21","","10/01/2013","09/30/2014"
"NY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","148","","10/01/2013","09/30/2014"
"OH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","127","","10/01/2013","09/30/2014"
"OK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","23","","10/01/2013","09/30/2014"
"OR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","26","","10/01/2013","09/30/2014"
"PA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","127","","10/01/2013","09/30/2014"
"PR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"RI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"SC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","51","","10/01/2013","09/30/2014"
"SD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","15","","10/01/2013","09/30/2014"
"TN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","70","","10/01/2013","09/30/2014"
"TX","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","162","","10/01/2013","09/30/2014"
"UT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"VA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","77","","10/01/2013","09/30/2014"
"VT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"WA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","49","","10/01/2013","09/30/2014"
"WI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","44","","10/01/2013","09/30/2014"
"WV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"WY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AK","Extracranial procedures w/o CC/MCC","52","","10/01/2013","09/30/2014"
"AL","Extracranial procedures w/o CC/MCC","916","","10/01/2013","09/30/2014"
"AR","Extracranial procedures w/o CC/MCC","692","","10/01/2013","09/30/2014"
"AZ","Extracranial procedures w/o CC/MCC","568","","10/01/2013","09/30/2014"
"CA","Extracranial procedures w/o CC/MCC","2116","","10/01/2013","09/30/2014"
"CO","Extracranial procedures w/o CC/MCC","310","","10/01/2013","09/30/2014"
"CT","Extracranial procedures w/o CC/MCC","309","","10/01/2013","09/30/2014"
"DC","Extracranial procedures w/o CC/MCC","49","","10/01/2013","09/30/2014"
"DE","Extracranial procedures w/o CC/MCC","160","","10/01/2013","09/30/2014"
"FL","Extracranial procedures w/o CC/MCC","2876","","10/01/2013","09/30/2014"
"GA","Extracranial procedures w/o CC/MCC","1045","","10/01/2013","09/30/2014"
"GU","Extracranial procedures w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"HI","Extracranial procedures w/o CC/MCC","21","","10/01/2013","09/30/2014"
"IA","Extracranial procedures w/o CC/MCC","444","","10/01/2013","09/30/2014"
"ID","Extracranial procedures w/o CC/MCC","124","","10/01/2013","09/30/2014"
"IL","Extracranial procedures w/o CC/MCC","1327","","10/01/2013","09/30/2014"
"IN","Extracranial procedures w/o CC/MCC","1180","","10/01/2013","09/30/2014"
"KS","Extracranial procedures w/o CC/MCC","623","","10/01/2013","09/30/2014"
"KY","Extracranial procedures w/o CC/MCC","756","","10/01/2013","09/30/2014"
"LA","Extracranial procedures w/o CC/MCC","736","","10/01/2013","09/30/2014"
"MA","Extracranial procedures w/o CC/MCC","844","","10/01/2013","09/30/2014"
"MD","Extracranial procedures w/o CC/MCC","718","","10/01/2013","09/30/2014"
"ME","Extracranial procedures w/o CC/MCC","188","","10/01/2013","09/30/2014"
"MI","Extracranial procedures w/o CC/MCC","1334","","10/01/2013","09/30/2014"
"MN","Extracranial procedures w/o CC/MCC","441","","10/01/2013","09/30/2014"
"MO","Extracranial procedures w/o CC/MCC","1044","","10/01/2013","09/30/2014"
"MS","Extracranial procedures w/o CC/MCC","552","","10/01/2013","09/30/2014"
"MT","Extracranial procedures w/o CC/MCC","150","","10/01/2013","09/30/2014"
"NC","Extracranial procedures w/o CC/MCC","1161","","10/01/2013","09/30/2014"
"ND","Extracranial procedures w/o CC/MCC","202","","10/01/2013","09/30/2014"
"NE","Extracranial procedures w/o CC/MCC","274","","10/01/2013","09/30/2014"
"NH","Extracranial procedures w/o CC/MCC","223","","10/01/2013","09/30/2014"
"NJ","Extracranial procedures w/o CC/MCC","935","","10/01/2013","09/30/2014"
"NM","Extracranial procedures w/o CC/MCC","138","","10/01/2013","09/30/2014"
"NV","Extracranial procedures w/o CC/MCC","234","","10/01/2013","09/30/2014"
"NY","Extracranial procedures w/o CC/MCC","1454","","10/01/2013","09/30/2014"
"OH","Extracranial procedures w/o CC/MCC","1408","","10/01/2013","09/30/2014"
"OK","Extracranial procedures w/o CC/MCC","516","","10/01/2013","09/30/2014"
"OR","Extracranial procedures w/o CC/MCC","359","","10/01/2013","09/30/2014"
"PA","Extracranial procedures w/o CC/MCC","1254","","10/01/2013","09/30/2014"
"PR","Extracranial procedures w/o CC/MCC","36","","10/01/2013","09/30/2014"
"RI","Extracranial procedures w/o CC/MCC","78","","10/01/2013","09/30/2014"
"SC","Extracranial procedures w/o CC/MCC","785","","10/01/2013","09/30/2014"
"SD","Extracranial procedures w/o CC/MCC","150","","10/01/2013","09/30/2014"
"TN","Extracranial procedures w/o CC/MCC","1062","","10/01/2013","09/30/2014"
"TX","Extracranial procedures w/o CC/MCC","2853","","10/01/2013","09/30/2014"
"UT","Extracranial procedures w/o CC/MCC","103","","10/01/2013","09/30/2014"
"VA","Extracranial procedures w/o CC/MCC","811","","10/01/2013","09/30/2014"
"VT","Extracranial procedures w/o CC/MCC","48","","10/01/2013","09/30/2014"
"WA","Extracranial procedures w/o CC/MCC","618","","10/01/2013","09/30/2014"
"WI","Extracranial procedures w/o CC/MCC","632","","10/01/2013","09/30/2014"
"WV","Extracranial procedures w/o CC/MCC","410","","10/01/2013","09/30/2014"
"WY","Extracranial procedures w/o CC/MCC","61","","10/01/2013","09/30/2014"
"AK","Extracranial procedures w CC","15","","10/01/2013","09/30/2014"
"AL","Extracranial procedures w CC","306","","10/01/2013","09/30/2014"
"AR","Extracranial procedures w CC","178","","10/01/2013","09/30/2014"
"AZ","Extracranial procedures w CC","270","","10/01/2013","09/30/2014"
"CA","Extracranial procedures w CC","833","","10/01/2013","09/30/2014"
"CO","Extracranial procedures w CC","86","","10/01/2013","09/30/2014"
"CT","Extracranial procedures w CC","117","","10/01/2013","09/30/2014"
"DC","Extracranial procedures w CC","27","","10/01/2013","09/30/2014"
"DE","Extracranial procedures w CC","56","","10/01/2013","09/30/2014"
"FL","Extracranial procedures w CC","971","","10/01/2013","09/30/2014"
"GA","Extracranial procedures w CC","303","","10/01/2013","09/30/2014"
"HI","Extracranial procedures w CC","24","","10/01/2013","09/30/2014"
"IA","Extracranial procedures w CC","157","","10/01/2013","09/30/2014"
"ID","Extracranial procedures w CC","52","","10/01/2013","09/30/2014"
"IL","Extracranial procedures w CC","635","","10/01/2013","09/30/2014"
"IN","Extracranial procedures w CC","345","","10/01/2013","09/30/2014"
"KS","Extracranial procedures w CC","182","","10/01/2013","09/30/2014"
"KY","Extracranial procedures w CC","279","","10/01/2013","09/30/2014"
"LA","Extracranial procedures w CC","254","","10/01/2013","09/30/2014"
"MA","Extracranial procedures w CC","337","","10/01/2013","09/30/2014"
"MD","Extracranial procedures w CC","298","","10/01/2013","09/30/2014"
"ME","Extracranial procedures w CC","57","","10/01/2013","09/30/2014"
"MI","Extracranial procedures w CC","520","","10/01/2013","09/30/2014"
"MN","Extracranial procedures w CC","232","","10/01/2013","09/30/2014"
"MO","Extracranial procedures w CC","380","","10/01/2013","09/30/2014"
"MS","Extracranial procedures w CC","155","","10/01/2013","09/30/2014"
"MT","Extracranial procedures w CC","48","","10/01/2013","09/30/2014"
"NC","Extracranial procedures w CC","417","","10/01/2013","09/30/2014"
"ND","Extracranial procedures w CC","58","","10/01/2013","09/30/2014"
"NE","Extracranial procedures w CC","91","","10/01/2013","09/30/2014"
"NH","Extracranial procedures w CC","85","","10/01/2013","09/30/2014"
"NJ","Extracranial procedures w CC","289","","10/01/2013","09/30/2014"
"NM","Extracranial procedures w CC","42","","10/01/2013","09/30/2014"
"NV","Extracranial procedures w CC","64","","10/01/2013","09/30/2014"
"NY","Extracranial procedures w CC","521","","10/01/2013","09/30/2014"
"OH","Extracranial procedures w CC","515","","10/01/2013","09/30/2014"
"OK","Extracranial procedures w CC","205","","10/01/2013","09/30/2014"
"OR","Extracranial procedures w CC","116","","10/01/2013","09/30/2014"
"PA","Extracranial procedures w CC","470","","10/01/2013","09/30/2014"
"PR","Extracranial procedures w CC","12","","10/01/2013","09/30/2014"
"RI","Extracranial procedures w CC","14","","10/01/2013","09/30/2014"
"SC","Extracranial procedures w CC","202","","10/01/2013","09/30/2014"
"SD","Extracranial procedures w CC","33","","10/01/2013","09/30/2014"
"TN","Extracranial procedures w CC","348","","10/01/2013","09/30/2014"
"TX","Extracranial procedures w CC","1009","","10/01/2013","09/30/2014"
"UT","Extracranial procedures w CC","47","","10/01/2013","09/30/2014"
"VA","Extracranial procedures w CC","297","","10/01/2013","09/30/2014"
"VT","Extracranial procedures w CC","21","","10/01/2013","09/30/2014"
"WA","Extracranial procedures w CC","203","","10/01/2013","09/30/2014"
"WI","Extracranial procedures w CC","254","","10/01/2013","09/30/2014"
"WV","Extracranial procedures w CC","106","","10/01/2013","09/30/2014"
"WY","Extracranial procedures w CC","11","","10/01/2013","09/30/2014"
"AK","Coronary bypass w/o cardiac cath w/o MCC","36","","10/01/2013","09/30/2014"
"AL","Coronary bypass w/o cardiac cath w/o MCC","512","","10/01/2013","09/30/2014"
"AR","Coronary bypass w/o cardiac cath w/o MCC","481","","10/01/2013","09/30/2014"
"AZ","Coronary bypass w/o cardiac cath w/o MCC","324","","10/01/2013","09/30/2014"
"CA","Coronary bypass w/o cardiac cath w/o MCC","1035","","10/01/2013","09/30/2014"
"CO","Coronary bypass w/o cardiac cath w/o MCC","166","","10/01/2013","09/30/2014"
"CT","Coronary bypass w/o cardiac cath w/o MCC","156","","10/01/2013","09/30/2014"
"DC","Coronary bypass w/o cardiac cath w/o MCC","121","","10/01/2013","09/30/2014"
"DE","Coronary bypass w/o cardiac cath w/o MCC","85","","10/01/2013","09/30/2014"
"FL","Coronary bypass w/o cardiac cath w/o MCC","1339","","10/01/2013","09/30/2014"
"GA","Coronary bypass w/o cardiac cath w/o MCC","593","","10/01/2013","09/30/2014"
"GU","Coronary bypass w/o cardiac cath w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"HI","Coronary bypass w/o cardiac cath w/o MCC","66","","10/01/2013","09/30/2014"
"IA","Coronary bypass w/o cardiac cath w/o MCC","229","","10/01/2013","09/30/2014"
"ID","Coronary bypass w/o cardiac cath w/o MCC","74","","10/01/2013","09/30/2014"
"IL","Coronary bypass w/o cardiac cath w/o MCC","762","","10/01/2013","09/30/2014"
"IN","Coronary bypass w/o cardiac cath w/o MCC","699","","10/01/2013","09/30/2014"
"KS","Coronary bypass w/o cardiac cath w/o MCC","218","","10/01/2013","09/30/2014"
"KY","Coronary bypass w/o cardiac cath w/o MCC","425","","10/01/2013","09/30/2014"
"LA","Coronary bypass w/o cardiac cath w/o MCC","456","","10/01/2013","09/30/2014"
"MA","Coronary bypass w/o cardiac cath w/o MCC","431","","10/01/2013","09/30/2014"
"MD","Coronary bypass w/o cardiac cath w/o MCC","257","","10/01/2013","09/30/2014"
"ME","Coronary bypass w/o cardiac cath w/o MCC","107","","10/01/2013","09/30/2014"
"MI","Coronary bypass w/o cardiac cath w/o MCC","583","","10/01/2013","09/30/2014"
"MN","Coronary bypass w/o cardiac cath w/o MCC","322","","10/01/2013","09/30/2014"
"MO","Coronary bypass w/o cardiac cath w/o MCC","567","","10/01/2013","09/30/2014"
"MS","Coronary bypass w/o cardiac cath w/o MCC","364","","10/01/2013","09/30/2014"
"MT","Coronary bypass w/o cardiac cath w/o MCC","105","","10/01/2013","09/30/2014"
"NC","Coronary bypass w/o cardiac cath w/o MCC","589","","10/01/2013","09/30/2014"
"ND","Coronary bypass w/o cardiac cath w/o MCC","100","","10/01/2013","09/30/2014"
"NE","Coronary bypass w/o cardiac cath w/o MCC","225","","10/01/2013","09/30/2014"
"NH","Coronary bypass w/o cardiac cath w/o MCC","148","","10/01/2013","09/30/2014"
"NJ","Coronary bypass w/o cardiac cath w/o MCC","570","","10/01/2013","09/30/2014"
"NM","Coronary bypass w/o cardiac cath w/o MCC","83","","10/01/2013","09/30/2014"
"NV","Coronary bypass w/o cardiac cath w/o MCC","130","","10/01/2013","09/30/2014"
"NY","Coronary bypass w/o cardiac cath w/o MCC","799","","10/01/2013","09/30/2014"
"OH","Coronary bypass w/o cardiac cath w/o MCC","670","","10/01/2013","09/30/2014"
"OK","Coronary bypass w/o cardiac cath w/o MCC","465","","10/01/2013","09/30/2014"
"OR","Coronary bypass w/o cardiac cath w/o MCC","184","","10/01/2013","09/30/2014"
"PA","Coronary bypass w/o cardiac cath w/o MCC","775","","10/01/2013","09/30/2014"
"PR","Coronary bypass w/o cardiac cath w/o MCC","76","","10/01/2013","09/30/2014"
"RI","Coronary bypass w/o cardiac cath w/o MCC","54","","10/01/2013","09/30/2014"
"SC","Coronary bypass w/o cardiac cath w/o MCC","407","","10/01/2013","09/30/2014"
"SD","Coronary bypass w/o cardiac cath w/o MCC","97","","10/01/2013","09/30/2014"
"TN","Coronary bypass w/o cardiac cath w/o MCC","726","","10/01/2013","09/30/2014"
"TX","Coronary bypass w/o cardiac cath w/o MCC","1517","","10/01/2013","09/30/2014"
"UT","Coronary bypass w/o cardiac cath w/o MCC","88","","10/01/2013","09/30/2014"
