Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"140224","PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO","2900 NORTH LAKE SHORE DRIVE","Chicago","IL","60657","COOK","0.85280","4 out of 10","0 out of 9","4 out of 10","0.88829","4 out of 10","0 out of 9","4 out of 10","0.89481","6 out of 10","0 out of 9","6 out of 10","0.60787","1 out of 10","2 out of 9","2 out of 10","0.325","3 out of 10","0 out of 9","3 out of 10"
"140228","SWEDISH AMERICAN HOSPITAL","1401 EAST STATE STREET","Rockford","IL","61104","WINNEBAGO","0.86183","9 out of 10","9 out of 9","9 out of 10","0.85482","0 out of 10","0 out of 9","0 out of 10","0.86379","0 out of 10","0 out of 9","0 out of 10","0.64255","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"140231","EDWARD HOSPITAL","801 SOUTH WASHINGTON","Naperville","IL","60540","DU PAGE","0.86437","10 out of 10","9 out of 9","10 out of 10","0.90183","10 out of 10","9 out of 9","10 out of 10","0.88907","3 out of 10","0 out of 9","3 out of 10","0.44234","10 out of 10","9 out of 9","10 out of 10","0.245","4 out of 10","3 out of 9","4 out of 10"
"140233","SAINT ANTHONY MEDICAL CENTER","5666 EAST STATE STREET","Rockford","IL","61108","WINNEBAGO","0.84523","0 out of 10","3 out of 9","3 out of 10","0.85443","0 out of 10","0 out of 9","0 out of 10","0.89483","6 out of 10","8 out of 9","8 out of 10","0.65441","0 out of 10","6 out of 9","6 out of 10","0.977","0 out of 10","0 out of 9","0 out of 10"
"140234","ILLINOIS VALLEY COMMUNITY HOSPITAL","925 WEST ST","Peru","IL","61354","LA SALLE","0.85091","Not Available","Not Available","Not Available","0.87527","0 out of 10","0 out of 9","0 out of 10","0.87218","0 out of 10","0 out of 9","0 out of 10","0.39965","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"140239","ROCKFORD MEMORIAL HOSPITAL","2400 NORTH ROCKTON AVENUE","Rockford","IL","61103","WINNEBAGO","0.86807","10 out of 10","9 out of 9","10 out of 10","0.88554","2 out of 10","6 out of 9","6 out of 10","0.87290","0 out of 10","0 out of 9","0 out of 10","0.44816","10 out of 10","9 out of 9","10 out of 10","0.566","0 out of 10","0 out of 9","0 out of 10"
"140240","WESTLAKE COMMUNITY HOSPITAL","1225 LAKE ST","Melrose Park","IL","60160","COOK","0.85711","Not Available","Not Available","Not Available","0.87496","0 out of 10","0 out of 9","0 out of 10","0.89915","7 out of 10","Not Available","7 out of 10","0.51601","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","Winfield","IL","60190","DU PAGE","0.84835","1 out of 10","0 out of 9","1 out of 10","0.88615","3 out of 10","6 out of 9","6 out of 10","0.87648","0 out of 10","2 out of 9","2 out of 10","0.65144","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"140250","ADVOCATE SOUTH SUBURBAN HOSPITAL","17800 S KEDZIE AVE","Hazel Crest","IL","60429","COOK","0.85785","7 out of 10","6 out of 9","7 out of 10","0.88999","5 out of 10","5 out of 9","5 out of 10","0.87803","0 out of 10","0 out of 9","0 out of 10","0.34588","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"140251","PRESENCE OUR LADY OF THE RESURRECTION MED CTR","5645 W ADDISON","Chicago","IL","60634","COOK","0.85359","4 out of 10","2 out of 9","4 out of 10","0.88907","4 out of 10","0 out of 9","4 out of 10","0.88669","2 out of 10","4 out of 9","4 out of 10","0.68952","0 out of 10","0 out of 9","0 out of 10","0.264","4 out of 10","0 out of 9","4 out of 10"
"140252","NORTHWEST COMMUNITY HOSPITAL","800 W CENTRAL ROAD","Arlington Heights","IL","60005","COOK","0.84442","0 out of 10","1 out of 9","1 out of 10","0.87735","0 out of 10","0 out of 9","0 out of 10","0.86044","0 out of 10","0 out of 9","0 out of 10","0.46365","9 out of 10","7 out of 9","9 out of 10","1.118","0 out of 10","0 out of 9","0 out of 10"
"140258","ALEXIAN BROTHERS MEDICAL CENTER","800 W BIESTERFIELD RD","Elk Grove Village","IL","60007","COOK","0.87331","10 out of 10","9 out of 9","10 out of 10","0.88857","4 out of 10","0 out of 9","4 out of 10","0.90836","10 out of 10","9 out of 9","10 out of 10","0.36960","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"140275","GENESIS HEALTH SYSTEM","801 ILLINI DRIVE","Silvis","IL","61282","ROCK ISLAND","0.82835","0 out of 10","0 out of 9","0 out of 10","0.86957","0 out of 10","0 out of 9","0 out of 10","0.89047","4 out of 10","0 out of 9","4 out of 10","0.52587","5 out of 10","0 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","Maywood","IL","60153","COOK","0.86081","9 out of 10","8 out of 9","9 out of 10","0.87715","0 out of 10","0 out of 9","0 out of 10","0.87185","0 out of 10","0 out of 9","0 out of 10","0.36200","10 out of 10","9 out of 9","10 out of 10","0.311","3 out of 10","4 out of 9","4 out of 10"
"140280","TRINITY ROCK ISLAND","2701 17TH ST","Rock Island","IL","61201","ROCK ISLAND","0.88430","10 out of 10","9 out of 9","10 out of 10","0.87890","0 out of 10","0 out of 9","0 out of 10","0.82356","0 out of 10","0 out of 9","0 out of 10","0.39131","10 out of 10","9 out of 9","10 out of 10","0.367","2 out of 10","0 out of 9","2 out of 10"
"140281","NORTHWESTERN MEMORIAL HOSPITAL","251 E HURON ST","Chicago","IL","606112908","COOK","0.88063","10 out of 10","9 out of 9","10 out of 10","0.91444","10 out of 10","9 out of 9","10 out of 10","0.89091","4 out of 10","0 out of 9","4 out of 10","0.60153","1 out of 10","0 out of 9","1 out of 10","1.034","0 out of 10","0 out of 9","0 out of 10"
"140286","KISHWAUKEE COMMUNITY HOSPITAL","ONE KISH HOSPITAL DRIVE","Dekalb","IL","60115","DE KALB","0.86194","Not Available","Not Available","Not Available","0.88856","4 out of 10","0 out of 9","4 out of 10","0.88489","1 out of 10","6 out of 9","6 out of 10","0.55714","4 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","Downers Grove","IL","60515","DU PAGE","0.84383","0 out of 10","3 out of 9","3 out of 10","0.87385","0 out of 10","0 out of 9","0 out of 10","0.88482","1 out of 10","3 out of 9","3 out of 10","0.42577","10 out of 10","9 out of 9","10 out of 10","0.163","6 out of 10","7 out of 9","7 out of 10"
"140289","ANDERSON HOSPITAL","6800 STATE ROUTE 162","Maryville","IL","62062","MADISON","0.83278","0 out of 10","0 out of 9","0 out of 10","0.86820","0 out of 10","0 out of 9","0 out of 10","0.88077","0 out of 10","1 out of 9","1 out of 10","0.65052","0 out of 10","3 out of 9","3 out of 10","0.884","0 out of 10","0 out of 9","0 out of 10"
"140290","ST ALEXIUS MEDICAL CENTER","1555 N BARRINGTON RD","Hoffman Estates","IL","60169","COOK","0.85720","6 out of 10","5 out of 9","6 out of 10","0.88349","1 out of 10","0 out of 9","1 out of 10","0.89360","5 out of 10","0 out of 9","5 out of 10","0.43156","10 out of 10","9 out of 9","10 out of 10","0.292","3 out of 10","2 out of 9","3 out of 10"
"140291","ADVOCATE GOOD SHEPHERD HOSPITAL","450 WEST HIGHWAY 22","Barrington","IL","60010","LAKE","0.86943","10 out of 10","9 out of 9","10 out of 10","0.87098","0 out of 10","1 out of 9","1 out of 10","0.89141","4 out of 10","4 out of 9","4 out of 10","0.36302","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"140292","ADVENTIST GLENOAKS","701 WINTHROP AVENUE","Glendale Heights","IL","60139","DU PAGE","0.85577","Not Available","Not Available","Not Available","0.87376","0 out of 10","0 out of 9","0 out of 10","0.89537","Not Available","Not Available","Not Available","0.40568","10 out of 10","9 out of 9","10 out of 10","0.569","0 out of 10","0 out of 9","0 out of 10"
"140294","CROSSROADS COMMUNITY HOSPITAL","8 DOCTORS PARK ROAD","Mount Vernon","IL","62864","JEFFERSON","0.84610","Not Available","Not Available","Not Available","0.87675","Not Available","Not Available","Not Available","0.88090","0 out of 10","0 out of 9","0 out of 10","0.58387","2 out of 10","1 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"140300","PROVIDENT HOSPITAL OF CHICAGO","500 E 51ST ST","Chicago","IL","60615","COOK","Not Available","Not Available","Not Available","Not Available","0.88280","Not Available","Not Available","Not Available","0.88573","Not Available","Not Available","Not Available","0.50036","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"140304","ADVENTIST BOLINGBROOK HOSPITAL","500 REMINGTON BOULEVARD","Bolingbrook","IL","60440","WILL","0.85480","Not Available","Not Available","Not Available","0.89199","6 out of 10","5 out of 9","6 out of 10","0.87988","0 out of 10","0 out of 9","0 out of 10","0.42554","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150001","JOHNSON MEMORIAL HOSPITAL","1125 W JEFFERSON ST","Franklin","IN","46131","JOHNSON","0.84708","Not Available","Not Available","Not Available","0.87765","0 out of 10","5 out of 9","5 out of 10","0.86579","0 out of 10","0 out of 9","0 out of 10","0.55295","4 out of 10","3 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"150002","METHODIST HOSPITALS INC","600 GRANT ST","Gary","IN","46402","LAKE","0.83713","0 out of 10","0 out of 9","0 out of 10","0.89302","6 out of 10","0 out of 9","6 out of 10","0.87254","0 out of 10","0 out of 9","0 out of 10","0.44472","10 out of 10","0 out of 9","10 out of 10","1.413","0 out of 10","1 out of 9","1 out of 10"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","Lafayette","IN","47904","TIPPECANOE","0.85189","Not Available","Not Available","Not Available","0.86948","0 out of 10","0 out of 9","0 out of 10","0.89646","6 out of 10","4 out of 9","6 out of 10","0.45400","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","Hammond","IN","46320","LAKE","0.85521","5 out of 10","0 out of 9","5 out of 10","0.88038","0 out of 10","0 out of 9","0 out of 10","0.88965","3 out of 10","0 out of 9","3 out of 10","0.52296","6 out of 10","7 out of 9","7 out of 10","0.224","5 out of 10","1 out of 9","5 out of 10"
"150005","HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","Danville","IN","46122","HENDRICKS","0.84503","0 out of 10","0 out of 9","0 out of 10","0.86898","0 out of 10","0 out of 9","0 out of 10","0.88341","1 out of 10","2 out of 9","2 out of 10","0.45127","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","La Porte","IN","46350","LA PORTE","0.84552","0 out of 10","5 out of 9","5 out of 10","0.86933","0 out of 10","1 out of 9","1 out of 10","0.85773","0 out of 10","2 out of 9","2 out of 10","0.46134","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","3500 S LAFOUNTAIN ST","Kokomo","IN","46902","HOWARD","0.86116","9 out of 10","8 out of 9","9 out of 10","0.86897","0 out of 10","0 out of 9","0 out of 10","0.89257","5 out of 10","6 out of 9","6 out of 10","0.54344","4 out of 10","5 out of 9","5 out of 10","0.550","0 out of 10","0 out of 9","0 out of 10"
"150008","ST CATHERINE HOSPITAL INC","4321 FIR ST","East Chicago","IN","46312","LAKE","0.84247","Not Available","Not Available","Not Available","0.89031","5 out of 10","0 out of 9","5 out of 10","0.90360","9 out of 10","9 out of 9","9 out of 10","0.36819","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","Jeffersonville","IN","47130","CLARK","0.85224","3 out of 10","5 out of 9","5 out of 10","0.86993","0 out of 10","0 out of 9","0 out of 10","0.90584","10 out of 10","9 out of 9","10 out of 10","0.52474","5 out of 10","0 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","Kokomo","IN","46904","HOWARD","0.84525","Not Available","Not Available","Not Available","0.86552","0 out of 10","0 out of 9","0 out of 10","0.88902","3 out of 10","4 out of 9","4 out of 10","0.40991","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150011","MARION GENERAL HOSPITAL","441 N WABASH AVE","Marion","IN","46952","GRANT","0.85321","4 out of 10","6 out of 9","6 out of 10","0.89647","8 out of 10","9 out of 9","9 out of 10","0.88943","3 out of 10","6 out of 9","6 out of 10","0.38823","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","Mishawaka","IN","46545","ST. JOSEPH","0.85545","5 out of 10","8 out of 9","8 out of 10","0.87629","0 out of 10","2 out of 9","2 out of 10","0.87770","0 out of 10","0 out of 9","0 out of 10","0.30933","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","Michigan City","IN","46360","LA PORTE","0.85084","3 out of 10","4 out of 9","4 out of 10","0.87445","0 out of 10","0 out of 9","0 out of 10","0.87049","0 out of 10","0 out of 9","0 out of 10","0.44849","10 out of 10","9 out of 9","10 out of 10","0.760","0 out of 10","0 out of 9","0 out of 10"
"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","Fort Wayne","IN","46804","ALLEN","0.86799","10 out of 10","9 out of 9","10 out of 10","0.85624","0 out of 10","0 out of 9","0 out of 10","0.88300","1 out of 10","0 out of 9","1 out of 10","0.48732","7 out of 10","8 out of 9","8 out of 10","0.954","0 out of 10","0 out of 9","0 out of 10"
"150018","ELKHART GENERAL HOSPITAL","600 E BLVD","Elkhart","IN","46514","ELKHART","0.82013","0 out of 10","0 out of 9","0 out of 10","0.87471","0 out of 10","0 out of 9","0 out of 10","0.87588","0 out of 10","0 out of 9","0 out of 10","0.71263","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","Fort Wayne","IN","46845","ALLEN","0.84187","0 out of 10","0 out of 9","0 out of 10","0.87852","0 out of 10","2 out of 9","2 out of 10","0.86766","0 out of 10","0 out of 9","0 out of 10","0.47323","8 out of 10","0 out of 9","8 out of 10","0.316","3 out of 10","4 out of 9","4 out of 10"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","Crawfordsville","IN","47933","MONTGOMERY","0.85532","Not Available","Not Available","Not Available","0.86879","0 out of 10","0 out of 9","0 out of 10","0.89035","4 out of 10","2 out of 9","4 out of 10","0.46453","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","Terre Haute","IN","47804","VIGO","0.87921","10 out of 10","9 out of 9","10 out of 10","0.88365","2 out of 10","7 out of 9","7 out of 10","0.89018","4 out of 10","7 out of 9","7 out of 10","0.54556","4 out of 10","0 out of 9","4 out of 10","0.230","5 out of 10","6 out of 9","6 out of 10"
"150024","ESKENAZI HEALTH","720 ESKENAZI AVENUE","Indianapolis","IN","46202","MARION","0.85446","5 out of 10","0 out of 9","5 out of 10","0.88909","4 out of 10","0 out of 9","4 out of 10","0.89209","Not Available","Not Available","Not Available","0.62019","0 out of 10","0 out of 9","0 out of 10","1.197","0 out of 10","0 out of 9","0 out of 10"
"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","Goshen","IN","46526","ELKHART","0.85159","3 out of 10","Not Available","3 out of 10","0.87731","0 out of 10","3 out of 9","3 out of 10","0.87278","0 out of 10","2 out of 9","2 out of 10","0.78862","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","New Castle","IN","47362","HENRY","0.85672","Not Available","Not Available","Not Available","0.87808","0 out of 10","0 out of 9","0 out of 10","0.89096","4 out of 10","6 out of 9","6 out of 10","0.45988","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150034","ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","Hobart","IN","46342","LAKE","0.86084","9 out of 10","8 out of 9","9 out of 10","0.90150","10 out of 10","9 out of 9","10 out of 10","0.87981","0 out of 10","0 out of 9","0 out of 10","0.49036","7 out of 10","8 out of 9","8 out of 10","0.413","1 out of 10","0 out of 9","1 out of 10"
"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","Valparaiso","IN","46383","PORTER","0.86004","8 out of 10","8 out of 9","8 out of 10","0.87753","0 out of 10","2 out of 9","2 out of 10","0.86239","0 out of 10","1 out of 9","1 out of 10","0.41804","10 out of 10","9 out of 9","10 out of 10","0.602","0 out of 10","0 out of 9","0 out of 10"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","Greenfield","IN","46140","HANCOCK","0.85990","Not Available","Not Available","Not Available","0.88170","1 out of 10","0 out of 9","1 out of 10","0.85616","0 out of 10","0 out of 9","0 out of 10","0.49034","7 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"150038","INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC","2209 JOHN R WOODEN DR","Martinsville","IN","46151","MORGAN","0.85698","Not Available","Not Available","Not Available","0.88278","1 out of 10","0 out of 9","1 out of 10","0.88271","1 out of 10","3 out of 9","3 out of 10","0.48751","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","Vincennes","IN","47591","KNOX","0.86954","10 out of 10","9 out of 9","10 out of 10","0.87505","0 out of 10","3 out of 9","3 out of 10","0.89024","4 out of 10","0 out of 9","4 out of 10","0.40864","10 out of 10","9 out of 9","10 out of 10","0.965","0 out of 10","0 out of 9","0 out of 10"
"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","New Albany","IN","47150","FLOYD","0.86823","10 out of 10","9 out of 9","10 out of 10","0.86037","0 out of 10","0 out of 9","0 out of 10","0.86300","0 out of 10","0 out of 9","0 out of 10","0.53850","5 out of 10","0 out of 9","5 out of 10","0.582","0 out of 10","0 out of 9","0 out of 10"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","Auburn","IN","46706","DE KALB","0.85670","Not Available","Not Available","Not Available","0.86925","Not Available","Not Available","Not Available","0.87446","0 out of 10","1 out of 9","1 out of 10","0.55195","4 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","Terre Haute","IN","47802","VIGO","0.85018","2 out of 10","0 out of 9","2 out of 10","0.87008","0 out of 10","0 out of 9","0 out of 10","0.87359","0 out of 10","2 out of 9","2 out of 10","0.34908","10 out of 10","9 out of 9","10 out of 10","1.423","0 out of 10","0 out of 9","0 out of 10"
"150047","ST JOSEPH HOSPITAL","700 BROADWAY","Fort Wayne","IN","46802","ALLEN","0.83561","Not Available","Not Available","Not Available","0.88903","4 out of 10","4 out of 9","4 out of 10","0.86249","Not Available","Not Available","Not Available","0.63020","0 out of 10","0 out of 9","0 out of 10","0.522","0 out of 10","2 out of 9","2 out of 10"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","Richmond","IN","47374","WAYNE","0.86300","10 out of 10","9 out of 9","10 out of 10","0.87407","0 out of 10","0 out of 9","0 out of 10","0.88831","3 out of 10","0 out of 9","3 out of 10","0.54756","4 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150051","INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","Bloomington","IN","47403","MONROE","0.87501","10 out of 10","9 out of 9","10 out of 10","0.86391","0 out of 10","0 out of 9","0 out of 10","0.87533","0 out of 10","4 out of 9","4 out of 10","0.50550","6 out of 10","7 out of 9","7 out of 10","1.063","0 out of 10","0 out of 9","0 out of 10"
"150056","INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","Indianapolis","IN","46202","MARION","0.86366","10 out of 10","9 out of 9","10 out of 10","0.88223","1 out of 10","0 out of 9","1 out of 10","0.87922","0 out of 10","0 out of 9","0 out of 10","0.55656","4 out of 10","0 out of 9","4 out of 10","0.797","0 out of 10","0 out of 9","0 out of 10"
"150057","FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE","1201 HADLEY RD","Mooresville","IN","46158","MORGAN","Not Available","Not Available","Not Available","Not Available","0.88558","Not Available","Not Available","Not Available","0.88626","2 out of 10","2 out of 9","2 out of 10","0.38635","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","South Bend","IN","46601","ST. JOSEPH","0.84433","0 out of 10","0 out of 9","0 out of 10","0.85430","0 out of 10","2 out of 9","2 out of 10","0.86237","0 out of 10","2 out of 9","2 out of 10","0.58956","2 out of 10","5 out of 9","5 out of 10","0.697","0 out of 10","0 out of 9","0 out of 10"
"150059","RIVERVIEW HOSPITAL","395 WESTFIELD RD","Noblesville","IN","46060","HAMILTON","0.85109","3 out of 10","0 out of 9","3 out of 10","0.86921","0 out of 10","0 out of 9","0 out of 10","0.88111","0 out of 10","0 out of 9","0 out of 10","0.62158","0 out of 10","2 out of 9","2 out of 10","1.463","0 out of 10","0 out of 9","0 out of 10"
"150061","DAVIESS COMMUNITY HOSPITAL","1314 E WALNUT ST","Washington","IN","47501","DAVIESS","0.86559","Not Available","Not Available","Not Available","0.88728","Not Available","Not Available","Not Available","0.88541","2 out of 10","3 out of 9","3 out of 10","0.51937","6 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"150064","FAYETTE REGIONAL HEALTH SYSTEM","1941 VIRGINIA AVE","Connersville","IN","47331","FAYETTE","0.84866","Not Available","Not Available","Not Available","0.88126","Not Available","Not Available","Not Available","0.88193","0 out of 10","0 out of 9","0 out of 10","0.60862","1 out of 10","3 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"150065","SCHNECK MEDICAL CENTER","411 W TIPTON ST","Seymour","IN","47274","JACKSON","0.84485","Not Available","Not Available","Not Available","0.88679","Not Available","Not Available","Not Available","0.87788","0 out of 10","0 out of 9","0 out of 10","0.37947","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150069","KING'S DAUGHTERS' HEALTH","1373 EAST SR 62","Madison","IN","47250","JEFFERSON","0.85412","Not Available","Not Available","Not Available","0.88476","2 out of 10","0 out of 9","2 out of 10","0.88787","3 out of 10","0 out of 9","3 out of 10","0.44641","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"150072","MEMORIAL HOSPITAL","1101 MICHIGAN AVE","Logansport","IN","46947","CASS","0.85515","Not Available","Not Available","Not Available","0.87477","0 out of 10","0 out of 9","0 out of 10","0.89600","6 out of 10","0 out of 9","6 out of 10","0.45997","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150074","COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","Indianapolis","IN","46219","MARION","0.85151","3 out of 10","2 out of 9","3 out of 10","0.88219","1 out of 10","0 out of 9","1 out of 10","0.84158","0 out of 10","0 out of 9","0 out of 10","0.42306","10 out of 10","9 out of 9","10 out of 10","0.835","0 out of 10","0 out of 9","0 out of 10"
"150075","BLUFFTON REGIONAL MEDICAL CENTER","303 S MAIN ST","Bluffton","IN","46714","WELLS","0.85662","Not Available","Not Available","Not Available","0.87042","Not Available","Not Available","Not Available","0.88969","3 out of 10","6 out of 9","6 out of 10","0.46537","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"150076","SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH","1915 LAKE AVE","Plymouth","IN","46563","MARSHALL","0.85654","6 out of 10","Not Available","6 out of 10","0.88131","0 out of 10","3 out of 9","3 out of 10","0.88375","1 out of 10","0 out of 9","1 out of 10","0.62112","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"150082","DEACONESS HOSPITAL INC","600 MARY ST","Evansville","IN","47747","VANDERBURGH","0.83484","0 out of 10","0 out of 9","0 out of 10","0.84849","0 out of 10","0 out of 9","0 out of 10","0.89357","5 out of 10","7 out of 9","7 out of 10","0.57526","3 out of 10","5 out of 9","5 out of 10","0.461","0 out of 10","0 out of 9","0 out of 10"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","Indianapolis","IN","46260","MARION","0.85903","7 out of 10","7 out of 9","7 out of 10","0.86896","0 out of 10","0 out of 9","0 out of 10","0.88723","2 out of 10","0 out of 9","2 out of 10","0.56947","3 out of 10","0 out of 9","3 out of 10","0.763","0 out of 10","0 out of 9","0 out of 10"
"150086","DEARBORN COUNTY HOSPITAL","600 WILSON CREEK RD","Lawrenceburg","IN","47025","DEARBORN","0.85261","Not Available","Not Available","Not Available","0.88167","1 out of 10","0 out of 9","1 out of 10","0.88952","3 out of 10","2 out of 9","3 out of 10","0.55050","4 out of 10","1 out of 9","4 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150088","ST VINCENT ANDERSON REGIONAL HOSPITAL INC","2015 JACKSON ST","Anderson","IN","46016","MADISON","0.85208","Not Available","Not Available","Not Available","0.88537","2 out of 10","3 out of 9","3 out of 10","0.88405","1 out of 10","0 out of 9","1 out of 10","0.39359","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","Muncie","IN","47303","DELAWARE","0.85632","6 out of 10","7 out of 9","7 out of 10","0.87587","0 out of 10","0 out of 9","0 out of 10","0.88083","0 out of 10","0 out of 9","0 out of 10","0.51663","6 out of 10","0 out of 9","6 out of 10","0.323","3 out of 10","0 out of 9","3 out of 10"
